Polarization of Light 'Brewsters' Data File Wed, Oct 22, 2025 4:15 PM
Sensor Position (Degrees)	Light Intensity (Volts)
158.18333	0.05732
158.13333	0.05233
158.10000	0.05281
158.01667	0.10276
157.86667	0.07070
157.71667	0.10115
157.58333	0.09776
157.43333	0.09825
157.30000	0.08568
157.15000	0.04846
157.01667	0.07086
156.91667	0.06796
156.83333	0.06925
156.76667	0.08584
156.66667	0.08681
156.55000	0.06554
156.40000	0.09261
156.18333	0.10050
155.96667	0.04830
155.75000	-0.00116
155.56667	0.00110
155.40000	-0.00277
155.28333	-0.00068
155.20000	-0.00325
155.11667	-0.00213
155.03333	-0.00358
154.91667	-0.00068
154.73333	-0.00084
154.51667	-0.00052
154.33333	-0.00277
154.20000	0.00029
154.10000	-0.00325
153.98333	-0.00342
153.80000	-0.00052
153.65000	-0.00035
153.51667	-0.00068
153.35000	0.01302
153.20000	0.00351
153.01667	0.04782
152.78333	0.03944
152.53333	0.04298
152.25000	0.04347
151.95000	0.04073
151.65000	0.10147
151.41667	0.04701
151.16667	0.04298
150.86667	0.00818
150.58333	0.00238
150.30000	0.00303
149.98333	0.03928
149.61667	0.03799
149.26667	0.00158
148.91667	-0.00213
148.56667	-0.00084
148.23333	-0.00019
147.95000	0.00158
147.70000	-0.00100
147.51667	0.00045
147.31667	-0.00148
147.10000	-0.00052
146.85000	0.00110
146.65000	-0.00277
146.45000	-0.00019
146.30000	0.00867
146.15000	0.04540
145.96667	0.05297
145.75000	0.04347
145.48333	0.06473
145.16667	0.04121
144.78333	-0.00003
144.46667	-0.00148
144.18333	-0.00084
144.00000	0.00013
143.81667	0.00061
143.61667	0.00158
143.43333	0.00238
143.25000	0.03445
143.08333	0.04524
142.91667	0.07923
142.73333	0.14126
142.55000	0.09615
142.31667	0.10211
142.05000	0.05748
141.78333	0.05716
141.51667	0.06699
141.23333	-0.00019
141.01667	0.00093
140.83333	-0.00229
140.61667	-0.00003
140.40000	-0.00245
140.16667	-0.00019
140.00000	-0.00261
139.88333	0.00174
139.76667	0.05845
139.68333	0.04331
139.58333	0.06345
139.46667	0.15319
139.35000	0.17880
139.20000	0.10388
139.10000	0.12547
138.96667	0.14126
138.76667	0.11790
138.56667	0.17332
138.33333	0.15496
138.11667	0.13611
137.93333	0.14287
137.76667	0.17091
137.60000	0.17316
137.48333	0.11871
137.38333	0.11017
137.21667	0.15157
137.05000	0.12241
136.90000	0.20410
136.76667	0.11693
136.66667	0.17332
136.55000	0.09696
136.43333	0.11420
136.28333	0.11436
136.13333	0.17896
135.98333	0.12886
135.83333	0.15512
135.68333	0.07891
135.55000	0.05620
135.38333	0.05797
135.31667	0.05201
135.30000	0.04766
135.28333	0.05442
135.28333	0.05507
135.28333	0.06731
135.26667	0.11113
135.25000	0.18734
135.25000	0.15174
135.25000	0.13176
135.21667	0.13981
135.13333	0.19507
134.85000	0.15415
134.51667	0.18589
134.31667	0.10678
134.21667	0.13272
134.10000	0.13353
133.96667	0.11500
133.75000	0.16495
133.55000	0.16801
133.40000	0.14013
133.26667	0.07762
133.18333	0.09744
133.08333	0.15770
132.95000	0.17542
132.78333	0.12370
132.63333	0.15882
132.50000	0.15641
132.46667	0.13305
132.45000	0.09615
132.45000	0.06876
132.45000	0.06135
132.45000	0.05442
132.45000	0.05893
132.46667	0.06151
132.46667	0.06087
132.46667	0.06908
132.46667	0.06280
132.48333	0.06409
132.48333	0.06473
132.48333	0.06731
132.48333	0.05861
132.48333	0.07408
132.48333	0.09438
132.48333	0.09406
132.48333	0.09599
132.48333	0.08938
132.48333	0.15125
132.48333	0.13740
132.46667	0.06796
132.46667	0.06618
132.46667	0.06763
132.46667	0.06328
132.45000	0.06538
132.43333	0.06345
132.41667	0.07134
132.40000	0.07070
132.38333	0.06490
132.36667	0.06941
132.36667	0.06167
132.36667	0.06715
132.36667	0.06441
132.36667	0.06554
132.36667	0.06941
132.36667	0.06989
132.36667	0.06377
132.36667	0.06232
132.36667	0.06119
132.36667	0.06925
132.36667	0.06731
132.36667	0.06361
132.36667	0.06103
132.36667	0.06699
132.38333	0.06925
132.38333	0.06506
132.38333	0.06490
132.38333	0.06876
132.38333	0.06892
132.38333	0.06941
132.38333	0.06554
132.38333	0.07086
132.38333	0.06796
132.38333	0.06812
132.38333	0.06393
132.38333	0.06038
132.40000	0.06763
132.40000	0.06651
132.40000	0.06538
132.40000	0.06473
132.40000	0.07005
132.40000	0.06473
132.40000	0.06635
132.40000	0.06071
132.40000	0.06763
132.40000	0.06747
132.40000	0.06989
132.41667	0.06538
132.41667	0.07053
132.41667	0.06699
132.41667	0.06876
132.41667	0.06989
132.41667	0.06828
132.41667	0.06683
132.41667	0.06699
132.43333	0.07134
132.43333	0.07215
132.43333	0.07263
132.43333	0.07537
132.43333	0.07263
132.43333	0.07650
132.43333	0.07714
132.43333	0.07070
132.43333	0.07198
132.43333	0.09470
132.43333	0.11629
132.43333	0.12386
132.43333	0.15012
132.43333	0.17622
132.41667	0.18992
132.41667	0.19427
132.41667	0.06570
132.41667	-0.00116
132.40000	-0.00197
132.33333	-0.00100
131.95000	-0.00116
131.61667	0.00142
131.48333	0.00835
131.40000	0.00416
131.25000	0.00738
131.03333	0.01688
130.78333	0.00206
130.36667	0.01350
129.91667	0.06280
129.55000	0.19362
129.21667	0.16398
128.86667	0.13305
128.60000	0.17832
128.41667	0.15834
128.28333	0.15592
128.03333	0.16156
127.76667	0.11613
127.60000	0.09728
127.43333	0.10711
127.08333	0.10823
126.78333	0.09100
126.53333	0.11097
126.33333	0.17832
126.06667	0.16914
125.80000	0.18154
125.51667	0.12225
125.26667	0.17204
125.01667	0.14900
124.68333	0.14030
124.36667	0.02317
124.10000	0.06554
123.75000	0.00126
123.50000	-0.00148
123.25000	0.01028
122.98333	0.02558
122.76667	0.12032
122.58333	0.12273
122.36667	0.22633
122.13333	0.14626
121.90000	0.25001
121.65000	0.24792
121.43333	0.21441
121.18333	0.27031
120.91667	0.27225
120.71667	0.24518
120.58333	0.16317
120.41667	0.23761
120.16667	0.15673
119.81667	0.20265
119.50000	0.23825
119.18333	0.14787
118.78333	0.09277
118.35000	0.01189
118.00000	0.00238
117.66667	0.00077
117.31667	-0.00245
117.06667	-0.00100
116.85000	-0.00229
116.63333	0.01366
116.43333	0.10952
116.26667	0.30415
116.11667	0.18347
115.95000	0.24405
115.75000	0.15963
115.46667	0.36650
115.20000	0.30141
114.95000	0.24824
114.70000	0.36843
114.41667	0.20974
114.10000	0.20748
113.70000	0.32122
113.30000	0.38470
112.88333	0.21119
112.53333	0.10614
112.28333	0.01850
112.08333	0.01447
111.90000	-0.00068
111.76667	-0.00180
111.65000	-0.00164
111.46667	0.00061
111.30000	0.00432
111.08333	0.02430
110.88333	0.11323
110.71667	0.19314
110.55000	0.21344
110.40000	0.34007
110.25000	0.22134
110.05000	0.23181
109.91667	0.32348
109.78333	0.29980
109.61667	0.32960
109.46667	0.36730
109.30000	0.32429
109.05000	0.38760
108.88333	0.24727
108.68333	0.37052
108.41667	0.37826
108.20000	0.36907
108.00000	0.34233
107.81667	0.42836
107.61667	0.44319
107.40000	0.36134
107.20000	0.25823
106.98333	0.27144
106.71667	0.09196
106.45000	0.03477
106.25000	0.05072
106.10000	0.01560
106.01667	0.02816
105.91667	0.04959
105.80000	0.07102
105.68333	0.16704
105.56667	0.25646
105.45000	0.28014
105.28333	0.42949
105.06667	0.33041
104.81667	0.14980
104.51667	0.17445
104.21667	0.17784
103.95000	0.17091
103.76667	0.29706
103.60000	0.55613
103.40000	0.41354
103.23333	0.35796
103.03333	0.36730
102.85000	0.41660
102.68333	0.34088
102.56667	0.37665
102.40000	0.57643
102.23333	0.59028
102.06667	0.61654
101.93333	0.51955
101.85000	0.60301
101.76667	0.42514
101.63333	0.35586
101.50000	0.36054
101.35000	0.33524
101.20000	0.36907
101.05000	0.60043
100.88333	0.48443
100.73333	0.63604
100.53333	0.42998
100.33333	0.41886
100.13333	0.51101
99.91667	0.62766
99.71667	0.30463
99.55000	0.31720
99.38333	0.21312
99.18333	0.19137
98.96667	0.19959
98.68333	0.22826
98.41667	0.38454
98.23333	0.29367
98.11667	0.66826
97.93333	0.64683
97.71667	0.49796
97.46667	0.66939
97.13333	0.26629
96.76667	0.15947
96.41667	0.03573
96.16667	0.00625
95.96667	0.00303
95.80000	-0.00052
95.65000	0.00383
95.48333	0.01382
95.35000	0.05040
95.20000	0.10098
95.01667	0.19991
94.86667	0.26000
94.75000	0.29867
94.61667	0.53905
94.41667	0.63588
94.20000	0.73222
94.00000	0.73383
93.81667	0.57046
93.60000	0.58239
93.33333	0.33572
93.08333	0.37085
92.86667	0.23551
92.66667	0.48572
92.46667	0.48282
92.30000	0.71611
92.15000	0.61525
91.98333	0.57610
91.78333	0.79844
91.55000	0.79683
91.31667	1.17882
91.06667	0.80698
90.80000	0.55451
90.55000	0.47960
90.25000	0.66375
89.91667	0.78426
89.58333	0.65134
89.31667	0.92894
89.11667	1.08683
88.83333	0.63298
88.58333	0.63829
88.43333	0.66794
88.21667	0.20539
87.91667	0.11468
87.68333	0.06763
87.38333	0.02123
87.08333	0.02397
86.90000	0.06409
86.75000	0.09857
86.60000	0.68550
86.48333	0.77669
86.35000	0.73689
86.20000	0.82341
86.03333	1.09424
85.85000	1.17109
85.65000	0.99773
85.50000	1.16819
85.35000	1.04043
85.18333	1.29531
84.96667	0.96632
84.76667	0.50618
84.56667	0.96003
84.35000	0.46316
84.13333	0.21392
83.91667	0.94827
83.75000	1.10407
83.61667	1.18495
83.51667	1.00208
83.50000	1.01078
83.46667	1.00982
83.43333	1.18865
83.36667	1.16448
83.28333	0.84484
83.18333	0.60285
83.08333	1.23827
83.00000	1.03576
82.86667	1.18897
82.71667	0.79989
82.53333	0.87013
82.33333	1.20525
82.13333	1.02448
81.90000	0.91057
81.68333	0.25597
81.56667	0.15609
81.56667	0.15544
81.56667	0.17381
81.56667	0.30995
81.58333	0.30221
81.58333	1.10842
81.58333	1.33027
81.58333	0.72207
81.58333	0.81664
81.58333	0.78974
81.58333	0.64715
81.58333	1.02158
81.55000	0.69823
81.51667	1.03431
81.48333	0.94650
81.48333	0.96841
81.48333	0.97695
81.48333	0.95456
81.48333	0.96052
81.48333	0.95311
81.50000	0.94521
81.50000	0.94569
81.50000	0.93796
81.50000	0.93361
81.50000	0.92701
81.50000	0.92620
81.50000	0.91895
81.50000	0.90751
81.50000	0.89736
81.50000	0.89543
81.50000	0.89494
81.50000	0.90799
81.50000	0.90316
81.50000	0.89929
81.50000	0.91283
81.50000	0.90783
81.50000	0.90219
81.50000	0.90300
81.50000	0.89897
81.50000	0.90526
81.50000	0.90832
81.50000	0.91057
81.50000	0.89736
81.50000	0.89285
81.50000	0.89188
81.50000	0.89253
81.50000	0.89672
81.50000	0.88624
81.50000	0.88061
81.50000	0.87819
81.50000	0.88254
81.50000	0.87883
81.50000	0.87690
81.50000	0.87481
81.50000	0.86675
81.50000	0.86611
81.50000	0.87126
81.50000	0.87094
81.50000	0.86611
81.50000	0.87174
81.50000	0.87062
81.50000	0.86514
81.50000	0.85982
81.50000	0.85273
81.50000	0.85257
81.50000	0.85837
81.50000	0.85676
81.50000	0.84806
81.50000	0.85064
81.50000	0.85257
81.50000	0.84693
81.50000	0.84226
81.50000	0.84645
81.50000	0.84822
81.50000	0.83920
81.50000	0.84854
81.50000	0.85902
81.50000	0.85289
81.50000	0.83662
81.50000	0.84242
81.50000	0.85386
81.50000	0.84806
81.50000	0.84097
81.50000	0.84323
81.50000	0.84452
81.50000	0.83759
81.50000	0.84645
81.50000	0.83501
81.50000	0.83839
81.50000	0.84371
81.50000	0.84129
81.50000	0.84629
81.50000	0.79795
81.50000	0.83453
81.50000	0.82180
81.50000	0.80875
81.50000	0.83211
81.50000	0.82518
81.50000	0.83727
81.50000	0.83565
81.50000	0.83195
81.50000	0.83292
81.50000	0.83565
81.50000	0.83485
81.50000	0.68598
81.50000	0.73689
81.50000	0.77798
81.50000	0.73109
81.50000	0.77008
81.50000	0.73319
81.50000	0.74559
81.50000	0.75590
81.50000	0.78313
81.50000	1.06186
81.50000	1.07636
81.50000	1.03124
81.50000	0.71289
81.50000	1.38086
81.50000	1.38762
81.50000	0.65795
81.48333	1.25729
81.48333	0.56466
81.48333	1.06766
81.46667	0.73093
81.23333	0.37632
80.66667	1.11164
80.31667	0.97115
80.20000	1.12050
80.11667	1.37957
79.96667	1.56646
79.65000	1.24601
79.28333	1.50185
78.93333	1.63155
78.56667	0.82792
78.18333	0.65505
77.83333	1.39407
77.50000	1.47221
77.10000	1.57484
76.66667	1.15466
76.35000	1.36910
76.08333	1.14322
75.73333	1.39262
75.41667	1.53714
75.23333	1.69648
75.10000	1.42597
74.95000	1.23521
74.75000	1.46496
74.50000	1.52731
74.20000	1.48059
73.96667	1.41534
73.76667	1.44708
73.56667	2.15404
73.30000	1.99244
73.03333	1.53859
72.76667	1.51555
72.48333	1.73176
72.23333	1.17480
72.00000	1.03044
71.76667	1.05992
71.60000	0.25066
71.45000	0.25034
71.33333	0.33621
71.18333	1.14273
71.00000	1.00208
70.76667	1.88820
70.48333	1.18623
70.21667	1.23666
69.95000	0.49506
69.63333	0.27354
69.28333	0.90703
69.05000	0.99628
68.86667	1.50073
68.70000	2.08846
68.50000	1.90512
68.30000	2.54748
68.05000	1.87563
67.81667	2.76885
67.60000	1.86935
67.43333	2.52782
67.20000	1.90157
66.96667	2.20624
66.73333	2.39780
66.45000	2.52734
66.13333	2.78818
65.70000	2.75483
65.30000	2.34882
64.90000	1.11390
64.56667	1.25906
64.38333	0.48395
64.23333	1.10810
64.06667	1.69100
63.86667	1.67118
63.70000	2.19093
63.51667	2.83104
63.31667	2.83796
63.11667	2.43599
62.90000	3.02244
62.71667	2.59291
62.53333	2.83249
62.30000	3.45261
62.06667	3.52302
61.88333	2.23701
61.68333	2.61724
61.46667	2.98587
61.16667	3.74649
60.85000	2.68732
60.53333	2.50881
60.23333	1.98793
59.91667	1.96844
59.63333	1.46979
59.36667	2.78689
59.08333	2.40312
58.80000	2.15436
58.56667	2.44436
58.33333	2.23475
58.08333	1.84873
57.81667	1.90544
57.53333	2.01194
57.23333	3.42845
56.88333	4.10690
56.60000	3.43650
56.35000	2.98506
56.16667	3.76002
55.98333	2.69860
55.71667	3.47662
55.41667	2.31177
55.13333	1.38569
54.86667	1.20444
54.71667	1.05412
54.58333	1.21572
54.38333	1.17625
54.26667	1.43306
54.15000	1.89384
53.98333	1.58982
53.78333	1.77413
53.58333	1.59465
53.36667	1.77864
53.20000	1.68568
53.06667	1.65427
52.93333	1.50781
52.81667	1.10681
52.71667	0.98903
52.61667	0.85177
52.50000	0.71305
52.38333	0.69774
52.25000	0.80343
52.13333	0.71933
52.05000	1.17222
52.00000	1.73386
51.96667	2.00082
51.93333	2.17692
51.90000	2.16967
51.86667	2.37653
51.83333	2.44839
51.78333	2.56649
51.73333	2.42439
51.68333	2.53185
51.61667	2.57696
51.50000	2.22783
51.33333	2.06704
51.11667	3.16293
50.90000	2.45516
50.70000	2.50059
50.55000	2.46692
50.48333	2.83345
50.41667	2.92642
50.28333	2.83974
50.08333	3.25460
49.78333	2.89661
49.51667	2.80912
49.30000	2.03578
49.15000	2.13551
49.00000	1.85082
48.85000	1.98986
48.71667	2.20382
48.56667	2.57116
48.45000	3.01422
48.35000	3.16293
48.26667	2.61949
48.21667	2.57196
48.21667	2.52943
48.21667	2.48786
48.21667	2.34705
48.23333	3.10992
48.20000	2.84570
48.18333	2.83974
48.18333	2.84650
48.18333	2.85633
48.18333	2.86068
48.18333	2.85923
48.18333	2.85665
48.18333	2.86149
48.18333	2.85859
48.18333	2.85746
48.18333	2.83957
48.18333	2.86197
48.18333	2.88211
48.18333	2.86841
48.18333	2.85359
48.18333	2.90676
48.18333	2.89677
48.18333	2.85552
48.18333	2.87164
48.18333	2.89033
48.18333	2.88614
48.18333	2.86761
48.20000	2.88082
48.20000	2.90128
48.20000	2.87856
48.20000	2.86729
48.20000	2.88662
48.20000	2.88581
48.20000	2.87776
48.20000	2.88775
48.20000	2.87985
48.20000	2.87728
48.20000	2.88372
48.20000	2.88275
48.20000	2.87486
48.20000	2.88018
48.20000	2.87631
48.20000	2.87405
48.20000	2.88114
48.20000	2.87969
48.20000	2.88034
48.20000	2.87776
48.20000	2.88308
48.20000	2.88050
48.20000	2.88179
48.20000	2.88340
48.20000	2.88533
48.20000	2.87711
48.20000	2.88275
48.20000	2.88420
48.20000	2.87985
48.20000	2.87228
48.20000	2.87744
48.20000	2.88743
48.20000	2.88420
48.20000	2.87502
48.20000	2.88211
48.20000	2.88871
48.20000	2.89129
48.20000	2.88163
48.20000	2.88018
48.20000	2.88904
48.20000	2.88517
48.20000	2.88920
48.20000	2.89548
48.20000	2.88646
48.20000	2.89725
48.20000	2.88743
48.20000	2.89548
48.20000	2.89371
48.20000	2.89758
48.20000	2.89355
48.20000	2.88291
48.20000	2.89242
48.20000	2.88388
48.20000	2.88565
48.20000	2.88968
48.20000	2.89129
48.20000	2.88920
48.20000	2.89790
